title,url,platform,content_type
21 Grams,https://www.justwatch.com/in/movie/21-grams,JioHotstar,movie
R.L. Stine's Pumpkinhead,https://www.justwatch.com/in/movie/r-l-stines-pumpkinhead,JioHotstar,movie
A Woman Called Mother,https://www.justwatch.com/in/movie/a-woman-called-mother,JioHotstar,movie
Batman Begins,https://www.justwatch.com/in/movie/batman-begins,JioHotstar,movie
Bruce Almighty,https://www.justwatch.com/in/movie/bruce-almighty,JioHotstar,movie
The Hangover,https://www.justwatch.com/in/movie/the-hangover,JioHotstar,movie
Welcome,https://www.justwatch.com/in/movie/welcome,JioHotstar,movie
Drishyam,https://www.justwatch.com/in/movie/drishyam-2013,JioHotstar,movie
The Incredible Hulk,https://www.justwatch.com/in/movie/the-incredible-hulk,JioHotstar,movie
Gatta Kusthi,https://www.justwatch.com/in/movie/gatta-kusthi,JioHotstar,movie
World War Z,https://www.justwatch.com/in/movie/world-war-z,JioHotstar,movie
Hollow Man,https://www.justwatch.com/in/movie/hollow-man,JioHotstar,movie
Vivarium,https://www.justwatch.com/in/movie/vivarium,JioHotstar,movie
Fifty Shades Freed,https://www.justwatch.com/in/movie/fifty-shades-freed,JioHotstar,movie
The Medium,https://www.justwatch.com/in/movie/the-medium-2021,JioHotstar,movie
Jumanji: The Next Level,https://www.justwatch.com/in/movie/jumanji-the-next-level,JioHotstar,movie
Ne Zha 2,https://www.justwatch.com/in/movie/ne-zha-2,JioHotstar,movie
Hidden Figures,https://www.justwatch.com/in/movie/hidden-figures,JioHotstar,movie
Mad Max: Fury Road,https://www.justwatch.com/in/movie/mad-max-fury-road,JioHotstar,movie
Ready or Not,https://www.justwatch.com/in/movie/ready-or-not-2019,JioHotstar,movie
The Boy Next Door,https://www.justwatch.com/in/movie/the-boy-next-door,JioHotstar,movie
777 Charlie,https://www.justwatch.com/in/movie/777-charlie,JioHotstar,movie
Dolittle,https://www.justwatch.com/in/movie/the-voyage-of-doctor-dolittle,JioHotstar,movie
Pearl,https://www.justwatch.com/in/movie/pearl-2022,JioHotstar,movie
Arjun Reddy,https://www.justwatch.com/in/movie/arjun-reddy,JioHotstar,movie
Aladdin,https://www.justwatch.com/in/movie/aladdin-2019,JioHotstar,movie
Jurassic Park,https://www.justwatch.com/in/movie/jurassic-park,JioHotstar,movie
Jab We Met,https://www.justwatch.com/in/movie/jab-we-met,JioHotstar,movie
Manam,https://www.justwatch.com/in/movie/manam,JioHotstar,movie
